5.64,5.81
3.81,7.40
3.18,4.14
6.06,6.05
6.80,3.16
5.13,0.67
2.62,6.86
3.30,7.98
5.05,5.48
1.07,7.09
3.12,7.34
3.15,9.30
0.86,7.37
4.70,9.53
2.33,6.74
6.82,6.04
1.85,6.90
2.94,8.90
2.35,9.25
9.58,3.56
7.60,1.15
0.70,8.01
1.36,9.13
1.64,6.75
3.13,8.65
8.71,4.36
9.21,9.60
1.22,8.52
2.03,9.30
3.26,7.66
2.00,9.30
7.13,7.48
0.74,7.69
4.93,7.98
4.61,1.60
1.35,6.88
1.99,9.49
3.26,8.32
1.69,9.26
8.78,9.13
2.67,9.12
2.90,7.07
8.04,8.26
0.89,8.67
2.18,2.76
1.98,6.70
1.08,8.92
8.35,7.82
0.75,8.35
9.69,8.34
0.89,5.86
0.43,2.39
3.22,8.67
